"SEASON_YEAR","TEAM_NAME","GAME_DATE","MATCHUP","OFF_RATING","DEF_RATING","OREB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE"
"2019-20","Indiana Pacers","2020-01-17T00:00:00","IND vs. MIN",131.4,122,0.222,0.098,0.674,0.683,103
"2019-20","San Antonio Spurs","2020-01-17T00:00:00","SAS vs. ATL",103.6,119.6,0.259,0.161,0.51,0.541,110.9
"2019-20","Dallas Mavericks","2020-01-17T00:00:00","DAL vs. POR",144,126,0.393,0.1,0.58,0.631,103.3
"2019-20","Philadelphia 76ers","2020-01-17T00:00:00","PHI vs. CHI",92,95.9,0.125,0.12,0.464,0.51,98.6
"2019-20","Miami Heat","2020-01-17T00:00:00","MIA @ OKC",129.8,102.2,0.318,0.064,0.591,0.63,94.5
"2019-20","Minnesota Timberwolves","2020-01-17T00:00:00","MIN @ IND",122,131.4,0.083,0.08,0.6,0.623,103
"2019-20","Memphis Grizzlies","2020-01-17T00:00:00","MEM vs. CLE",101.9,107.7,0.267,0.057,0.471,0.486,104.5
"2019-20","Cleveland Cavaliers","2020-01-17T00:00:00","CLE @ MEM",107.7,101.9,0.269,0.154,0.511,0.549,104.5
"2019-20","Portland Trail Blazers","2020-01-17T00:00:00","POR @ DAL",126,144,0.167,0.08,0.631,0.666,103.3
"2019-20","Oklahoma City Thunder","2020-01-17T00:00:00","OKC vs. MIA",102.2,129.8,0.154,0.152,0.5,0.533,94.5
"2019-20","Washington Wizards","2020-01-17T00:00:00","WAS @ TOR",96.2,125,0.379,0.283,0.489,0.515,110
"2019-20","Atlanta Hawks","2020-01-17T00:00:00","ATL @ SAS",119.6,103.6,0.182,0.161,0.622,0.666,110.9
"2019-20","Toronto Raptors","2020-01-17T00:00:00","TOR vs. WAS",125,96.2,0.2,0.173,0.674,0.699,110
"2019-20","Chicago Bulls","2020-01-17T00:00:00","CHI @ PHI",95.9,92,0.087,0.163,0.525,0.54,98.6
"2019-20","New York Knicks","2020-01-16T00:00:00","NYK vs. PHX",92.9,103.6,0.194,0.143,0.449,0.483,113.4
"2019-20","Orlando Magic","2020-01-16T00:00:00","ORL @ LAC",102.1,142.6,0.2,0.043,0.436,0.475,99
"2019-20","Denver Nuggets","2020-01-16T00:00:00","DEN @ GSW",88.2,119.2,0.353,0.196,0.378,0.428,107
"2019-20","Boston Celtics","2020-01-16T00:00:00","BOS @ MIL",103.6,135.7,0.103,0.071,0.49,0.535,110.8
"2019-20","Utah Jazz","2020-01-16T00:00:00","UTA @ NOP",98,112,0.231,0.18,0.511,0.519,100.9
"2019-20","Phoenix Suns","2020-01-16T00:00:00","PHX @ NYK",103.6,92.9,0.367,0.196,0.51,0.522,113.4
"2019-20","Golden State Warriors","2020-01-16T00:00:00","GSW vs. DEN",119.2,88.2,0.227,0.192,0.628,0.666,107
"2019-20","New Orleans Pelicans","2020-01-16T00:00:00","NOP vs. UTA",112,98,0.208,0.12,0.548,0.587,100.9
"2019-20","LA Clippers","2020-01-16T00:00:00","LAC vs. ORL",142.6,102.1,0.318,0.064,0.649,0.663,99
"2019-20","Milwaukee Bucks","2020-01-16T00:00:00","MIL vs. BOS",135.7,103.6,0.056,0.125,0.762,0.782,110.8
"2019-20","Washington Wizards","2020-01-15T00:00:00","WAS @ CHI",117.6,110,0.263,0.196,0.622,0.668,102.3
"2019-20","Denver Nuggets","2020-01-15T00:00:00","DEN vs. CHA",123.9,91.3,0.318,0.152,0.585,0.61,98
"2019-20","Detroit Pistons","2020-01-15T00:00:00","DET @ BOS",121.3,128.3,0.059,0.106,0.703,0.696,91.7
"2019-20","Charlotte Hornets","2020-01-15T00:00:00","CHA @ DEN",91.3,123.9,0.296,0.196,0.465,0.474,98
"2019-20","Portland Trail Blazers","2020-01-15T00:00:00","POR @ HOU",111.1,88.7,0.355,0.111,0.469,0.527,111.4
"2019-20","Los Angeles Lakers","2020-01-15T00:00:00","LAL vs. ORL",107.4,120.4,0.357,0.185,0.538,0.539,109.2
"2019-20","Boston Celtics","2020-01-15T00:00:00","BOS vs. DET",128.3,121.3,0.308,0.043,0.58,0.57,91.7
"2019-20","Philadelphia 76ers","2020-01-15T00:00:00","PHI vs. BKN",105.9,114,0.333,0.176,0.578,0.577,102.2
"2019-20","San Antonio Spurs","2020-01-15T00:00:00","SAS @ MIA",108.5,106.3,0.077,0.043,0.533,0.54,95.2
"2019-20","Toronto Raptors","2020-01-15T00:00:00","TOR @ OKC",140.4,103.8,0.176,0.135,0.727,0.741,109.2
"2019-20","Brooklyn Nets","2020-01-15T00:00:00","BKN @ PHI",114,105.9,0.292,0.16,0.568,0.589,102.2
"2019-20","Indiana Pacers","2020-01-15T00:00:00","IND @ MIN",108,115.7,0.217,0.18,0.557,0.573,100.2
"2019-20","Orlando Magic","2020-01-15T00:00:00","ORL @ LAL",120.4,107.4,0.345,0.093,0.509,0.557,109.2
"2019-20","Miami Heat","2020-01-15T00:00:00","MIA vs. SAS",106.3,108.5,0.259,0.125,0.543,0.543,95.2
"2019-20","Sacramento Kings","2020-01-15T00:00:00","SAC vs. DAL",131.4,142,0.36,0.098,0.598,0.61,104.6
"2019-20","Oklahoma City Thunder","2020-01-15T00:00:00","OKC vs. TOR",103.8,140.4,0.2,0.245,0.603,0.64,109.2
"2019-20","Houston Rockets","2020-01-15T00:00:00","HOU vs. POR",88.7,111.1,0.237,0.113,0.398,0.409,111.4
"2019-20","Chicago Bulls","2020-01-15T00:00:00","CHI vs. WAS",110,117.6,0.182,0.12,0.568,0.568,102.3
"2019-20","Dallas Mavericks","2020-01-15T00:00:00","DAL @ SAC",142,131.4,0.417,0.1,0.613,0.638,104.6
"2019-20","Minnesota Timberwolves","2020-01-15T00:00:00","MIN vs. IND",115.7,108,0.2,0.157,0.655,0.654,100.2
"2019-20","Cleveland Cavaliers","2020-01-14T00:00:00","CLE @ LAC",106.4,140.4,0.286,0.106,0.49,0.507,97.4
"2019-20","Dallas Mavericks","2020-01-14T00:00:00","DAL @ GSW",135.4,97.9,0.409,0.083,0.617,0.627,96.5
"2019-20","Atlanta Hawks","2020-01-14T00:00:00","ATL vs. PHX",119.1,108.5,0.444,0.128,0.52,0.535,94.5
"2019-20","Golden State Warriors","2020-01-14T00:00:00","GSW vs. DAL",97.9,135.4,0.154,0.083,0.467,0.493,96.5
"2019-20","LA Clippers","2020-01-14T00:00:00","LAC vs. CLE",140.4,106.4,0.381,0.149,0.693,0.701,97.4
"2019-20","Brooklyn Nets","2020-01-14T00:00:00","BKN vs. UTA",91.8,120.4,0.296,0.163,0.478,0.467,100.8
"2019-20","Utah Jazz","2020-01-14T00:00:00","UTA @ BKN",120.4,91.8,0.269,0.082,0.541,0.571,100.8
"2019-20","Phoenix Suns","2020-01-14T00:00:00","PHX @ ATL",108.5,119.1,0.238,0.128,0.513,0.565,94.5
"2019-20","New York Knicks","2020-01-14T00:00:00","NYK @ MIL",71.4,118.2,0.167,0.107,0.35,0.374,109.1
"2019-20","Milwaukee Bucks","2020-01-14T00:00:00","MIL vs. NYK",118.2,71.4,0.185,0.091,0.563,0.595,109.1
"2019-20","Memphis Grizzlies","2020-01-14T00:00:00","MEM vs. HOU",128.8,117.3,0.19,0.058,0.617,0.646,107.3
"2019-20","Houston Rockets","2020-01-14T00:00:00","HOU @ MEM",117.3,128.8,0.385,0.154,0.5,0.581,107.3
"2019-20","Los Angeles Lakers","2020-01-13T00:00:00","LAL vs. CLE",100,100,0.24,0.106,0.465,0.496,96.9
"2019-20","Chicago Bulls","2020-01-13T00:00:00","CHI @ BOS",80.4,117,0.12,0.109,0.355,0.427,91.1
"2019-20","Orlando Magic","2020-01-13T00:00:00","ORL @ SAC",130,104,0.31,0.04,0.51,0.567,102.6
"2019-20","Sacramento Kings","2020-01-13T00:00:00","SAC vs. ORL",104,130,0.174,0.14,0.544,0.561,102.6
"2019-20","Boston Celtics","2020-01-13T00:00:00","BOS vs. CHI",117,80.4,0.25,0.106,0.575,0.613,91.1
"2019-20","Minnesota Timberwolves","2020-01-13T00:00:00","MIN vs. OKC",111.1,116.7,0.2,0.111,0.532,0.569,108.6
"2019-20","Indiana Pacers","2020-01-13T00:00:00","IND vs. PHI",80,98,0.167,0.14,0.386,0.421,102.2
"2019-20","Cleveland Cavaliers","2020-01-13T00:00:00","CLE @ LAL",100,100,0.364,0.208,0.5,0.539,96.9
"2019-20","Portland Trail Blazers","2020-01-13T00:00:00","POR vs. CHA",126.5,93.9,0.125,0.163,0.705,0.737,98.4
"2019-20","Detroit Pistons","2020-01-13T00:00:00","DET vs. NOP",96.3,118.9,0.08,0.093,0.476,0.536,107
"2019-20","Philadelphia 76ers","2020-01-13T00:00:00","PHI @ IND",98,80,0.241,0.08,0.459,0.474,102.2
"2019-20","Charlotte Hornets","2020-01-13T00:00:00","CHA @ POR",93.9,126.5,0.258,0.102,0.413,0.449,98.4
"2019-20","New Orleans Pelicans","2020-01-13T00:00:00","NOP @ DET",118.9,96.3,0.25,0.189,0.598,0.65,107
"2019-20","Oklahoma City Thunder","2020-01-13T00:00:00","OKC @ MIN",116.7,111.1,0.25,0.148,0.573,0.644,108.6
"2019-20","Charlotte Hornets","2020-01-12T00:00:00","CHA @ PHX",91.8,93.9,0.3,0.184,0.444,0.46,101.6
"2019-20","San Antonio Spurs","2020-01-12T00:00:00","SAS @ TOR",82.7,100,0.161,0.115,0.389,0.424,105
"2019-20","Golden State Warriors","2020-01-12T00:00:00","GSW @ MEM",109.3,111.1,0.233,0.111,0.5,0.547,107.6
