"SEASON_YEAR","TEAM_NAME","GAME_DATE","MATCHUP","OFF_RATING","DEF_RATING","OREB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE"
"2019-20","Memphis Grizzlies","2020-01-17T00:00:00","MEM vs. CLE",118,106,0.059,0.18,0.676,0.698,100.8
"2019-20","Dallas Mavericks","2020-01-17T00:00:00","DAL vs. POR",100,102.1,0.261,0.167,0.513,0.542,96.7
"2019-20","Portland Trail Blazers","2020-01-17T00:00:00","POR @ DAL",102.1,100,0.296,0.167,0.512,0.517,96.7
"2019-20","Toronto Raptors","2020-01-17T00:00:00","TOR vs. WAS",133.9,109.1,0.3,0.179,0.708,0.728,114.1
"2019-20","San Antonio Spurs","2020-01-17T00:00:00","SAS vs. ATL",124,110.2,0.37,0.12,0.489,0.569,103.1
"2019-20","Minnesota Timberwolves","2020-01-17T00:00:00","MIN @ IND",108.2,98,0.296,0.184,0.5,0.549,100
"2019-20","Chicago Bulls","2020-01-17T00:00:00","CHI @ PHI",95.5,120,0.36,0.205,0.439,0.476,90.8
"2019-20","Oklahoma City Thunder","2020-01-17T00:00:00","OKC vs. MIA",127.1,110.2,0.091,0.063,0.593,0.638,101
"2019-20","Cleveland Cavaliers","2020-01-17T00:00:00","CLE @ MEM",106,118,0.379,0.14,0.478,0.505,100.8
"2019-20","Atlanta Hawks","2020-01-17T00:00:00","ATL @ SAS",110.2,124,0.238,0.204,0.608,0.619,103.1
"2019-20","Indiana Pacers","2020-01-17T00:00:00","IND vs. MIN",98,108.2,0.105,0.16,0.528,0.587,100
"2019-20","Philadelphia 76ers","2020-01-17T00:00:00","PHI vs. CHI",120,95.5,0.333,0.156,0.625,0.647,90.8
"2019-20","Washington Wizards","2020-01-17T00:00:00","WAS @ TOR",109.1,133.9,0.24,0.236,0.581,0.605,114.1
"2019-20","Miami Heat","2020-01-17T00:00:00","MIA @ OKC",110.2,127.1,0.273,0.163,0.55,0.585,101
"2019-20","Orlando Magic","2020-01-16T00:00:00","ORL @ LAC",88.7,103.8,0.1,0.132,0.5,0.484,106.8
"2019-20","Boston Celtics","2020-01-16T00:00:00","BOS @ MIL",130,106.1,0.31,0.08,0.54,0.583,103.4
"2019-20","Utah Jazz","2020-01-16T00:00:00","UTA @ NOP",146,129.4,0.238,0.06,0.646,0.702,103.5
"2019-20","LA Clippers","2020-01-16T00:00:00","LAC vs. ORL",103.8,88.7,0.276,0.132,0.49,0.516,106.8
"2019-20","Denver Nuggets","2020-01-16T00:00:00","DEN @ GSW",136,102,0.353,0.18,0.698,0.731,102.3
"2019-20","Phoenix Suns","2020-01-16T00:00:00","PHX @ NYK",128.6,93.9,0.294,0.163,0.663,0.709,100.1
"2019-20","Golden State Warriors","2020-01-16T00:00:00","GSW vs. DEN",102,136,0.321,0.18,0.427,0.512,102.3
"2019-20","Milwaukee Bucks","2020-01-16T00:00:00","MIL vs. BOS",106.1,130,0.25,0.061,0.422,0.475,103.4
"2019-20","New Orleans Pelicans","2020-01-16T00:00:00","NOP vs. UTA",129.4,146,0.3,0.118,0.628,0.653,103.5
"2019-20","New York Knicks","2020-01-16T00:00:00","NYK vs. PHX",93.9,128.6,0.308,0.204,0.463,0.492,100.1
"2019-20","Portland Trail Blazers","2020-01-15T00:00:00","POR @ HOU",116.3,125,0.231,0.041,0.511,0.561,98.4
"2019-20","Sacramento Kings","2020-01-15T00:00:00","SAC vs. DAL",112,112,0.16,0.06,0.567,0.562,97.8
"2019-20","Charlotte Hornets","2020-01-15T00:00:00","CHA @ DEN",97.8,97.7,0.24,0.133,0.5,0.514,95.1
"2019-20","Chicago Bulls","2020-01-15T00:00:00","CHI vs. WAS",117.6,93.9,0.286,0.176,0.61,0.648,99.8
"2019-20","Miami Heat","2020-01-15T00:00:00","MIA vs. SAS",114.6,104.3,0.227,0.083,0.585,0.589,98.1
"2019-20","Boston Celtics","2020-01-15T00:00:00","BOS vs. DET",88,120.4,0.238,0.26,0.5,0.549,98.4
"2019-20","Minnesota Timberwolves","2020-01-15T00:00:00","MIN vs. IND",83.3,102,0.273,0.146,0.348,0.4,98.2
"2019-20","Dallas Mavericks","2020-01-15T00:00:00","DAL @ SAC",112,112,0.174,0.12,0.538,0.597,97.8
"2019-20","Denver Nuggets","2020-01-15T00:00:00","DEN vs. CHA",97.7,97.8,0.154,0.136,0.487,0.497,95.1
"2019-20","Toronto Raptors","2020-01-15T00:00:00","TOR @ OKC",111.8,129.4,0.222,0.235,0.671,0.673,106.2
"2019-20","Brooklyn Nets","2020-01-15T00:00:00","BKN @ PHI",100,128.6,0.323,0.143,0.442,0.473,100
"2019-20","Philadelphia 76ers","2020-01-15T00:00:00","PHI vs. BKN",128.6,100,0.269,0.061,0.57,0.603,100
